판매일자,집계시간,판매매장명,품목카테고리,품목명,판매단위,단위가격,판매수량,판매금액
2026-09-15,09:00,완주로컬푸드 혁신점,가공식품,완주 곶감 세트,1세트,39900,12,478800
2026-09-15,09:00,완주로컬푸드 혁신점,엽채류,고산 부추,1단/묶음,3150,10,31500
2026-09-15,09:00,완주로컬푸드 혁신점,축산물,비봉 유정란,15구/판,6500,17,110500
2026-09-15,09:00,완주로컬푸드 해전점,과채류,구이 친환경 딸기,500g/팩,12000,21,252000
2026-09-15,09:00,완주로컬푸드 해전점,근채류,완주 생강,1kg/봉,9500,19,180500
2026-09-15,09:00,완주로컬푸드 해전점,과수류,이서 황금배,5kg/상자,35200,8,281600
2026-09-15,09:00,완주로컬푸드 해전점,과채류,삼례 싱싱토마토,2kg/상자,17600,19,334400
2026-09-15,09:00,완주로컬푸드 해전점,근채류,봉동 당근,1단/묶음,4950,3,14850
2026-09-15,09:00,완주로컬푸드 해전점,버섯류,모악산 참표고버섯,1kg/상자,23100,20,462000
2026-09-15,09:00,완주로컬푸드 해전점,서류,완주 햇고구마,3kg/상자,15750,11,173250
2026-09-15,09:00,완주로컬푸드 해전점,가공식품,봉동 생강한과 세트,1세트,35000,10,350000
2026-09-15,09:00,완주로컬푸드 해전점,곡류,용진 친환경 쌀,10kg/포,38000,7,266000
2026-09-15,09:00,완주로컬푸드 해전점,가공식품,완주 곶감 세트,1세트,39900,13,518700
2026-09-15,09:00,완주로컬푸드 해전점,엽채류,고산 부추,1단/묶음,2850,15,42750
2026-09-15,09:00,완주로컬푸드 해전점,축산물,비봉 유정란,15구/판,6175,15,92625
2026-09-15,09:00,완주로컬푸드 삼례점,과채류,구이 친환경 딸기,500g/팩,11400,8,91200
2026-09-15,09:00,완주로컬푸드 삼례점,근채류,완주 생강,1kg/봉,9025,11,99275
2026-09-15,09:00,완주로컬푸드 삼례점,과수류,이서 황금배,5kg/상자,32000,7,224000
2026-09-15,09:00,완주로컬푸드 삼례점,과채류,삼례 싱싱토마토,2kg/상자,15200,10,152000
2026-09-15,09:00,완주로컬푸드 삼례점,근채류,봉동 당근,1단/묶음,4950,18,89100
2026-09-15,09:00,완주로컬푸드 삼례점,버섯류,모악산 참표고버섯,1kg/상자,22000,10,220000
2026-09-15,09:00,완주로컬푸드 삼례점,서류,완주 햇고구마,3kg/상자,15750,3,47250
2026-09-15,09:00,완주로컬푸드 삼례점,가공식품,봉동 생강한과 세트,1세트,36750,8,294000
2026-09-15,09:00,완주로컬푸드 삼례점,곡류,용진 친환경 쌀,10kg/포,39900,11,438900
2026-09-15,09:00,완주로컬푸드 삼례점,가공식품,완주 곶감 세트,1세트,42000,9,378000
2026-09-15,09:00,완주로컬푸드 삼례점,엽채류,고산 부추,1단/묶음,3150,14,44100
2026-09-15,09:00,완주로컬푸드 삼례점,축산물,비봉 유정란,15구/판,6500,8,52000
2026-09-15,09:00,완주로컬푸드 둔산점,과채류,구이 친환경 딸기,500g/팩,12600,9,113400
2026-09-15,09:00,완주로컬푸드 둔산점,근채류,완주 생강,1kg/봉,9025,6,54150
2026-09-15,09:00,완주로컬푸드 둔산점,과수류,이서 황금배,5kg/상자,35200,5,176000
2026-09-15,09:00,완주로컬푸드 둔산점,과채류,삼례 싱싱토마토,2kg/상자,16800,9,151200
2026-09-15,09:00,완주로컬푸드 둔산점,근채류,봉동 당근,1단/묶음,4725,10,47250
2026-09-15,09:00,완주로컬푸드 둔산점,버섯류,모악산 참표고버섯,1kg/상자,20900,7,146300
2026-09-15,09:00,완주로컬푸드 둔산점,서류,완주 햇고구마,3kg/상자,15000,13,195000
2026-09-15,09:00,완주로컬푸드 둔산점,가공식품,봉동 생강한과 세트,1세트,38500,14,539000
2026-09-15,09:00,완주로컬푸드 둔산점,곡류,용진 친환경 쌀,10kg/포,38000,5,190000
2026-09-15,09:00,완주로컬푸드 둔산점,가공식품,완주 곶감 세트,1세트,42000,8,336000
2026-09-15,09:00,완주로컬푸드 둔산점,엽채류,고산 부추,1단/묶음,3000,7,21000
2026-09-15,09:00,완주로컬푸드 둔산점,축산물,비봉 유정란,15구/판,6825,5,34125
2026-09-15,09:00,완주로컬푸드 용진점,과채류,구이 친환경 딸기,500g/팩,13200,16,211200
2026-09-15,09:00,완주로컬푸드 용진점,근채류,완주 생강,1kg/봉,9975,11,109725
2026-09-15,09:00,완주로컬푸드 용진점,과수류,이서 황금배,5kg/상자,32000,5,160000
2026-09-15,09:00,완주로컬푸드 용진점,과채류,삼례 싱싱토마토,2kg/상자,15200,7,106400
2026-09-15,09:00,완주로컬푸드 용진점,근채류,봉동 당근,1단/묶음,4500,12,54000
2026-09-15,09:00,완주로컬푸드 용진점,버섯류,모악산 참표고버섯,1kg/상자,23100,18,415800
2026-09-15,09:00,완주로컬푸드 용진점,서류,완주 햇고구마,3kg/상자,15750,9,141750
2026-09-15,09:00,완주로컬푸드 용진점,가공식품,봉동 생강한과 세트,1세트,38500,5,192500
2026-09-15,09:00,완주로컬푸드 용진점,곡류,용진 친환경 쌀,10kg/포,41800,12,501600
2026-09-15,09:00,완주로컬푸드 용진점,가공식품,완주 곶감 세트,1세트,39900,4,159600
2026-09-15,09:00,완주로컬푸드 용진점,엽채류,고산 부추,1단/묶음,3000,13,39000
2026-09-15,09:00,완주로컬푸드 용진점,축산물,비봉 유정란,15구/판,6825,16,109200
